weight,n_estimators,max_depth,learning_rate,gamma,train_acc,val_acc
0.5,5,2,0.1,0,0.6399636243386244,0.634457671957672
0.8,5,2,0.1,0,0.6436177248677248,0.6395502645502645
0.2,100,10,0.01,0,0.9195601851851851,0.8115079365079365
0.5,100,10,0.01,0,0.9204199735449736,0.8166005291005292
0.8,100,10,0.01,0,0.9173280423280424,0.8149470899470901
0.2,60,10,0.01,0,0.909375,0.8092592592592591
0.5,60,10,0.01,0,0.9099371693121693,0.8104497354497354
0.8,60,10,0.01,0,0.9082506613756614,0.8102513227513228
0.2,30,10,0.01,0,0.8957341269841269,0.7971560846560847
0.5,30,10,0.01,0,0.8964451058201058,0.7992724867724867
0.8,30,10,0.01,0,0.8976521164021165,0.8013888888888889
0.2,12,10,0.01,0,0.8814980158730158,0.7916005291005291
0.5,12,10,0.01,0,0.8828042328042329,0.7917328042328042
0.8,12,10,0.01,0,0.8818617724867724,0.7882936507936507
0.2,5,10,0.01,0,0.8718088624338624,0.784457671957672
0.5,5,10,0.01,0,0.873263888888889,0.7861111111111111
0.8,5,10,0.01,0,0.8737103174603174,0.7839285714285714
0.2,100,7,0.01,0,0.8361441798941799,0.7798280423280424
0.5,100,7,0.01,0,0.835846560846561,0.7813492063492065
0.8,100,7,0.01,0,0.8368386243386243,0.7822751322751322
0.2,60,7,0.01,0,0.8261739417989418,0.7748015873015872
0.5,60,7,0.01,0,0.8275628306878307,0.7751322751322751
0.8,60,7,0.01,0,0.8272321428571429,0.7741402116402116
0.2,30,7,0.01,0,0.818998015873016,0.7651455026455026
0.5,30,7,0.01,0,0.8176752645502645,0.7669312169312169
0.8,30,7,0.01,0,0.8188988095238094,0.7652116402116402
0.2,12,7,0.01,0,0.8096395502645501,0.7592592592592593
0.5,12,7,0.01,0,0.8080853174603174,0.7576058201058201
0.8,12,7,0.01,0,0.8079861111111111,0.7564814814814815
0.2,5,7,0.01,0,0.8034391534391535,0.7529761904761905
0.5,5,7,0.01,0,0.8006944444444445,0.7494708994708994
0.8,5,7,0.01,0,0.7999669312169313,0.7487433862433862
0.2,100,4,0.01,0,0.7297288359788359,0.7117063492063492
0.5,100,4,0.01,0,0.7297123015873015,0.7143518518518518
0.8,100,4,0.01,0,0.7289517195767197,0.7124338624338625
0.2,60,4,0.01,0,0.7233300264550264,0.7079365079365079
